from,to,cost
0,1,1.3
0,2,2.8
0,3,4.4
0,4,6.4
0,5,7.9
0,6,9.4
0,7,10.4
0,8,12.1
0,9,13.0
0,10,13.5
0,11,15.0
0,12,16.0
0,13,16.2
0,14,16.1
0,15,16.6
0,16,17.9
0,17,19.0
0,18,19.8
0,19,21.1
0,20,22.5
0,21,23.9
0,22,25.0
0,23,25.9
0,24,27.5
0,25,29.1
0,26,30.4
0,27,31.5
1,2,1.5
1,3,3.1
1,4,5.2
1,5,6.6
1,6,8.1
1,7,9.1
1,8,10.8
1,9,11.7
1,10,12.2
1,11,13.7
1,12,14.7
1,13,14.9
1,14,14.8
1,15,15.3
1,16,16.7
1,17,17.8
1,18,18.5
1,19,19.9
1,20,21.2
1,21,22.7
1,22,23.8
1,23,24.7
1,24,26.3
1,25,27.9
1,26,29.2
1,27,30.3
2,3,1.6
2,4,3.7
2,5,5.2
2,6,6.6
2,7,7.7
2,8,9.3
2,9,10.2
2,10,10.7
2,11,12.3
2,12,13.3
2,13,13.5
2,14,13.4
2,15,13.9
2,16,15.3
2,17,16.4
2,18,17.1
2,19,18.5
2,20,19.9
2,21,21.4
2,22,22.5
2,23,23.5
2,24,25.1
2,25,26.7
2,26,28.0
2,27,29.1
3,4,2.1
3,5,3.5
3,6,5.0
3,7,6.2
3,8,7.8
3,9,8.7
3,10,9.1
3,11,10.6
3,12,11.6
3,13,11.9
3,14,11.9
3,15,12.3
3,16,13.7
3,17,14.9
3,18,15.7
3,19,17.1
3,20,18.5
3,21,20.0
3,22,21.2
3,23,22.1
3,24,23.8
3,25,25.3
3,26,26.7
3,27,27.8
4,5,1.6
4,6,3.2
4,7,4.5
4,8,5.9
4,9,6.8
4,10,7.2
4,11,8.7
4,12,9.7
4,13,10.0
4,14,10.1
4,15,10.6
4,16,12.0
4,17,13.2
4,18,14.0
4,19,15.5
4,20,16.9
4,21,18.4
4,22,19.6
4,23,20.6
4,24,22.3
4,25,23.9
4,26,25.3
4,27,26.4
5,6,1.6
5,7,2.9
5,8,4.3
5,9,5.2
5,10,5.6
5,11,7.1
5,12,8.1
5,13,8.4
5,14,8.5
5,15,9.0
5,16,10.4
5,17,11.6
5,18,12.4
5,19,13.9
5,20,15.3
5,21,16.9
5,22,18.1
5,23,19.1
5,24,20.8
5,25,22.4
5,26,23.7
5,27,24.9
6,7,1.3
6,8,2.8
6,9,3.7
6,10,4.1
6,11,5.7
6,12,6.7
6,13,6.9
6,14,6.9
6,15,7.4
6,16,8.8
6,17,10.0
6,18,10.8
6,19,12.3
